order_id,order_date,city,category,fragile,weight_kg,length_cm,width_cm,height_cm,material,freight_cost,value,damaged
101230,2026-07-29,北京,clothing,0,1.48,27.6,15.4,32.6,cardboard,10.91,40.0,0.0
101717,2026-06-27,成都,electronics,0,1.27,30.5,44.5,32.8,cardboard,11.5,101.0,0.0
101145,2026-05-06,西安,clothing,0,1.09,46.6,15.5,32.8,cardboard,10.3,28.0,0.0
101621,2026-06-22,武汉,ceramics,1,1.65,28.1,35.5,27.4,cardboard,9.1,132.0,0.0
100803,2026-02-16,上海,electronics,0,1.16,41.9,38.3,25.7,bubble,8.33,103.0,0.0
100129,2026-04-21,深圳,clothing,0,1.43,39.6,29.0,36.5,bubble,10.86,32.0,0.0
100863,2026-02-02,广州,ceramics,1,1.56,40.7,16.5,30.3,cardboard,8.88,106.0,0.0
100276,2026-05-21,成都,glass,1,4.12,25.4,44.5,29.7,wood,22.3,136.0,1.0
100535,2026-03-14,北京,electronics,0,1.21,,30.6,23.1,cardboard,10.16,126.0,0.0
101056,2026-03-10,西安,ceramics,1,3.31,21.4,27.0,22.9,wood,17.46,134.0,0.0
101426,2026-02-06,北京,ceramics,1,4.41,59.0,24.5,20.1,wood,19.12,98.0,0.0
101377,2026-08-18,广州,electronics,1,3.43,33.0,33.5,18.4,cardboard,12.31,133.0,0.0
101346,2026-01-23,上海,books,0,1.6,19.4,25.4,36.3,bubble,8.8,52.0,0.0
100527,2026-03-31,北京,ceramics,1,2.27,49.2,29.8,22.8,cardboard,11.66,129.0,0.0
100486,2026-07-09,西安,electronics,0,0.81,45.0,17.1,37.0,bubble,7.77,119.0,0.0
101810,2026-04-04,西安,books,0,1.71,47.4,44.4,20.3,cardboard,12.7,41.0,0.0
101971,2026-06-04,广州,ceramics,1,1.5,53.3,16.2,33.4,cardboard,10.46,114.0,0.0
101892,2026-06-08,上海,electronics,1,2.73,50.8,29.2,36.3,cardboard,12.79,85.0,0.0
101560,2026-03-27,成都,clothing,0,0.61,39.8,29.2,16.4,cardboard,9.28,26.0,0.0
101610,2026-03-16,上海,glass,1,1.13,57.0,44.7,9.3,wood,13.63,168.0,
101813,2026-02-24,武汉,books,0,0.91,15.2,34.1,12.7,bubble,6.02,53.0,0.0
101191,2026-07-27,杭州,ceramics,1,4.31,23.3,28.9,18.5,cardboard,13.87,91.0,0.0
100528,2026-03-18,深圳,clothing,0,0.87,47.2,28.3,32.8,bubble,9.43,30.0,0.0
101236,2026-05-29,杭州,glass,1,3.38,20.8,12.9,39.8,cardboard,12.78,174.0,0.0
100531,2026-01-25,北京,electronics,0,3.05,57.4,17.7,8.5,cardboard,12.69,131.0,0.0
100901,2026-07-02,北京,electronics,0,2.9,19.3,44.0,28.3,cardboard,12.4,110.0,0.0
101871,2026-04-10,武汉,books,0,0.3,42.3,25.8,14.1,bubble,5.75,46.0,0.0
101259,2026-03-27,杭州,electronics,0,1.06,21.1,41.9,17.6,bubble,8.13,133.0,0.0
100818,2026-02-23,成都,electronics,0,2.97,35.2,33.9,36.1,cardboard,13.55,130.0,0.0
100908,2026-02-24,西安,electronics,0,2.18,47.0,17.1,6.3,bubble,9.26,103.0,0.0
101041,2026-03-04,北京,clothing,0,1.15,51.7,36.5,19.0,bubble,7.2,25.0,0.0
101454,2026-06-12,西安,ceramics,1,1.58,46.8,44.9,11.3,cardboard,12.22,118.0,0.0
100680,2026-08-14,广州,electronics,1,0.59,57.6,45.0,31.7,wood,16.32,124.0,0.0
101165,2026-02-27,西安,electronics,0,2.18,22.1,19.5,9.5,cardboard,11.11,110.0,0.0
101537,2026-03-05,杭州,electronics,1,1.15,19.6,21.9,23.6,bubble,8.15,127.0,0.0
100116,2026-01-08,杭州,glass,1,4.88,41.3,14.5,16.2,wood,20.91,197.0,0.0
100966,2026-03-21,广州,ceramics,1,1.94,50.4,44.2,27.3,bubble,11.94,128.0,0.0
100343,2026-05-02,成都,ceramics,1,2.05,57.3,43.6,28.8,cardboard,12.66,109.0,0.0
101692,2026-07-08,成都,clothing,0,0.24,50.8,38.3,25.4,bubble,7.16,25.0,
101942,2026-03-27,深圳,glass,1,1.87,52.6,16.0,15.8,cardboard,11.05,133.0,0.0
101997,2026-04-28,深圳,electronics,1,,15.9,43.9,18.3,cardboard,10.43,111.0,0.0
100255,2026-07-13,上海,ceramics,0,3.65,17.8,30.9,9.2,cardboard,11.32,123.0,0.0
101827,2026-02-05,杭州,electronics,1,2.37,30.1,43.6,29.0,cardboard,12.75,94.0,0.0
101832,2026-05-25,西安,ceramics,1,2.34,45.3,38.1,15.6,cardboard,13.23,124.0,0.0
101951,2026-05-08,西安,electronics,0,3.18,41.1,16.1,37.3,cardboard,13.96,135.0,0.0
101091,2026-06-11,成都,glass,0,1030.0,41.3,17.6,14.7,bubble,8.75,121.0,0.0
101275,2026-07-12,广州,ceramics,1,3.86,51.7,19.7,39.8,cardboard,14.44,82.0,0.0
100121,2026-01-19,西安,glass,1,4.49,27.2,15.6,32.1,wood,17.74,206.0,0.0
101944,2026-02-01,成都,ceramics,1,4.38,59.2,37.3,32.0,wood,22.58,114.0,0.0
100580,2026-02-18,上海,clothing,0,0.43,20.8,44.2,12.1,cardboard,8.12,29.0,0.0
101302,2026-01-14,武汉,glass,1,3.32,32.4,22.0,18.6,wood,18.07,207.0,0.0
100257,2026-02-01,上海,electronics,1,3.56,59.1,35.9,21.3,bubble,12.41,124.0,0.0
100809,2026-08-18,上海,clothing,0,0.78,37.5,31.7,19.2,bubble,6.91,33.0,0.0
100136,2026-04-16,成都市,glass,1,1.05,50.2,25.0,27.3,cardboard,12.69,151.0,0.0
101111,2026-03-28,杭州,books,0,2.14,49.4,33.6,12.8,bubble,9.64,52.0,0.0
101582,2026-07-29,上海,glass,1,0.9,36.7,10.7,25.3,bubble,7.31,135.0,0.0
100940,2026-05-10,杭州市,glass,1,,45.6,27.0,28.1,wood,17.76,194.0,0.0
100465,2026-01-26,深圳,clothing,0,1.42,42.1,36.8,6.9,bubble,7.86,29.0,0.0
100439,2026-06-14,武汉,glass,1,1.55,55.9,30.8,15.5,cardboard,10.23,149.0,0.0
101345,2026-05-19,深圳,clothing,0,0.22,49.1,43.0,23.2,bubble,6.18,34.0,
101048,2026-01-09,武汉,electronics,0,2.43,46.3,30.6,17.2,bubble,9.85,88.0,0.0
100931,2026-01-29,北京,books,0,1.15,55.0,24.4,18.2,cardboard,9.52,55.0,0.0
100110,2026-02-08,深圳,clothing,1,0.23,36.9,19.1,19.7,cardboard,7.98,34.0,0.0
100362,2026-02-23,北京,electronics,1,0.75,44.3,13.1,20.4,cardboard,7.58,102.0,0.0
100351,2026-02-23,西安,ceramics,1,,46.8,12.9,21.4,cardboard,10.64,100.0,0.0
101633,2026-01-14,广州,clothing,0,1.04,27.5,34.0,35.2,wood,15.33,36.0,0.0
101757,2026-06-14,北京,electronics,0,4.16,16.7,35.0,12.0,cardboard,12.11,93.0,0.0
100621,2026-03-04,杭州,glass,1,1.48,59.3,41.4,29.6,cardboard,11.82,150.0,0.0
100234,2026-07-14,武汉,electronics,0,3.45,40.1,36.3,33.9,wood,20.54,121.0,0.0
101526,2026-01-07,西安,ceramics,1,0.98,56.8,42.8,34.6,cardboard,13.53,118.0,0.0
101428,2026-05-05,北京,books,0,2.98,22.7,34.3,34.3,bubble,10.31,55.0,0.0
100693,2026-04-29,广州,clothing,0,0.86,41.0,14.1,5.1,bubble,4.19,34.0,0.0
101926,2026-05-03,武汉,clothing,0,0.29,26.5,11.1,27.0,cardboard,5.73,38.0,0.0
100789,2026-04-24,广州,electronics,0,0.64,29.7,10.4,6.2,bubble,5.45,88.0,0.0
101343,2026-03-25,北京,clothing,0,1.21,33.6,32.7,21.9,bubble,7.24,34.0,0.0
100882,2026-07-26,西安,glass,1,4.41,37.0,19.3,8.0,wood,20.04,185.0,1.0
100757,2026-05-15,武汉,electronics,0,3.58,33.0,35.7,10.7,wood,19.42,101.0,0.0
100480,2026-05-28,杭州,clothing,0,0.43,28.6,44.5,18.2,bubble,5.37,38.0,0.0
100553,2026-02-12,西安市,electronics,0,4.1,30.7,35.5,7.3,cardboard,15.01,116.0,0.0
100248,2026-06-21,广州,clothing,0,,48.3,37.5,9.8,cardboard,8.54,24.0,
101745,2026-04-27,杭州,books,0,2.78,29.8,18.1,6.0,bubble,10.79,39.0,0.0
100345,2026-06-06,深圳,glass,1,3.73,16.0,15.4,24.7,wood,18.13,190.0,0.0
101860,2026-04-09,上海,glass,1,2.16,51.1,43.1,39.1,wood,21.53,171.0,0.0
100568,2026-04-20,上海,electronics,0,2.43,56.4,32.8,8.9,bubble,11.02,133.0,0.0
100571,2026-06-06,上海,clothing,0,0.93,30.1,,30.2,bubble,10.04,41.0,0.0
100308,2026-04-07,成都市,clothing,0,1.4,45.8,29.2,38.1,cardboard,12.44,26.0,0.0
101783,2026-02-07,上海,electronics,0,3.94,53.8,23.0,29.2,cardboard,15.04,94.0,0.0
100213,2026-08-29,武汉,clothing,0,0.68,22.7,12.4,30.5,cardboard,8.09,25.0,0.0
100501,2026-05-31,杭州,ceramics,1,1.17,29.7,13.9,39.3,cardboard,9.42,88.0,0.0
100905,2026-06-10,成都,electronics,0,0.55,23.1,28.7,30.3,bubble,8.7,100.0,0.0
100232,2026-05-14,成都,glass,1,4.87,28.2,29.0,22.5,wood,20.59,145.0,0.0
100415,2026-06-03,杭州,electronics,0,3.67,27.3,38.5,10.6,cardboard,13.81,82.0,0.0
101352,2026-03-22,杭州,glass,1,4.98,53.1,24.5,35.6,wood,21.81,123.0,0.0
100282,2026-01-15,成都,electronics,0,0.88,22.6,43.4,11.8,cardboard,8.15,118.0,0.0
101968,2026-06-15,广州,glass,1,2.64,29.4,40.4,33.2,wood,19.26,164.0,0.0
101240,2026-05-17,广州,electronics,0,4.79,20.4,31.4,24.4,cardboard,14.75,126.0,0.0
100434,2026-05-14,广州,ceramics,1,2.27,15.3,12.6,20.1,wood,14.2,119.0,0.0
100050,2026-08-12,上海,ceramics,0,3.9,35.2,23.7,7.8,wood,18.7,108.0,0.0
100298,2026-04-26,北京,ceramics,1,3.17,51.9,26.9,23.7,cardboard,14.83,119.0,0.0
100779,2026-02-27,深圳,electronics,1,3.3,31.3,28.7,5.1,wood,19.43,,0.0
100483,2026-07-13,成都市,electronics,0,2.06,32.8,11.4,37.1,cardboard,11.56,85.0,0.0
100707,2026-07-15,深圳,electronics,0,2.21,53.1,28.9,13.4,bubble,10.42,90.0,0.0
100775,2026-08-24,西安,books,0,2.3,57.7,13.9,14.0,cardboard,12.41,39.0,0.0
101126,2026-07-17,成都,ceramics,1,3.73,57.1,35.4,23.5,wood,21.07,115.0,0.0
101125,2026-06-24,杭州,clothing,0,0.66,17.5,12.5,18.2,bubble,7.64,25.0,0.0
101353,2026-06-13,广州市,clothing,0,0.72,30.7,32.5,27.8,bubble,9.49,35.0,0.0
100174,2026-02-04,成都,electronics,0,4.11,23.0,41.6,24.2,wood,19.97,119.0,0.0
100810,2026-07-20,深圳,clothing,0,1.17,15.3,22.1,20.4,bubble,6.63,41.0,0.0
100430,2026-07-03,成都,clothing,0,0.54,29.2,42.1,17.0,bubble,4.1,37.0,0.0
100496,2026-03-13,北京,books,0,1.73,23.6,12.2,,bubble,7.13,49.0,0.0
101736,2026-03-26,上海,ceramics,1,1.9,29.2,17.3,39.4,wood,15.78,130.0,0.0
100238,2026-08-09,西安,clothing,0,0.84,37.2,16.9,35.1,cardboard,10.94,39.0,0.0
101748,2026-06-06,西安,clothing,0,0.34,40.5,23.7,12.1,cardboard,8.15,33.0,0.0
100544,2026-01-23,SHENZHEN,glass,1,0.98,36.7,13.8,29.1,bubble,6.46,171.0,0.0
100024,2026-08-13,上海,electronics,0,1.56,19.7,12.3,25.8,bubble,8.15,98.0,0.0
101670,2026-07-31,成都市,electronics,1,1.55,30.8,39.3,21.7,bubble,7.71,106.0,0.0
100064,2026-01-15,杭州,ceramics,1,3.55,28.5,18.4,16.3,cardboard,13.46,96.0,0.0
100631,2026-04-15,成都,glass,1,4.05,47.2,41.2,25.8,cardboard,17.55,176.0,0.0
100189,2026-06-23,成都,electronics,0,,58.9,16.5,15.5,cardboard,14.32,92.0,0.0
101880,2026-05-17,武汉,books,0,2.92,44.5,39.4,28.1,bubble,10.6,47.0,0.0
100862,2026-06-26,成都,books,0,2.69,22.2,12.7,8.8,cardboard,11.96,48.0,0.0
101678,2026-07-23,杭州,clothing,0,0.35,35.3,33.9,32.9,bubble,9.42,27.0,0.0
100369,2026-07-02,上海,ceramics,1,2.46,28.2,43.4,18.8,cardboard,11.28,122.0,0.0
100271,2026-02-16,北京,ceramics,1,3.83,47.2,40.6,,cardboard,16.02,116.0,0.0
101618,2026-01-03,杭州,glass,1,2.35,33.3,39.7,24.1,wood,17.73,159.0,0.0
100874,2026-06-26,广州,clothing,0,1.22,31.2,43.2,28.1,cardboard,10.26,28.0,0.0
100197,2026-01-13,深圳,glass,1,1.91,54.6,19.5,36.3,cardboard,12.76,165.0,0.0
100484,2026-03-10,上海,clothing,0,0.25,42.1,42.2,20.3,cardboard,7.55,37.0,0.0
101217,2026-02-02,成都,glass,1,3.64,22.8,31.2,9.1,wood,19.19,141.0,0.0
101270,2026-06-28,上海,glass,0,1.05,25.0,35.4,5.0,bubble,8.02,154.0,0.0
101273,2026-05-06,成都,glass,1,4.25,47.0,23.3,24.5,wood,18.46,185.0,0.0
101314,2026-06-22,成都,electronics,1,1.14,50.9,25.8,34.4,cardboard,10.58,127.0,0.0
100101,2026-03-12,西安,electronics,1,3.98,59.9,16.7,10.4,wood,20.21,,0.0
101829,2026-08-13,西安,glass,1,1.94,51.8,12.4,30.8,cardboard,10.96,124.0,0.0
101588,2026-03-04,北京,ceramics,1,3.57,50.1,12.5,22.8,cardboard,13.06,126.0,0.0
101969,2026-07-01,深圳,clothing,0,0.83,58.7,36.8,30.6,cardboard,12.41,26.0,0.0
100221,2026-08-12,成都,books,0,2.26,43.4,36.5,34.0,bubble,12.1,39.0,0.0
100556,2026-08-24,北京,electronics,1,,31.4,34.0,17.0,wood,19.17,94.0,
101674,2026-05-12,武汉,clothing,0,0.99,24.7,15.8,39.9,bubble,5.91,,0.0
100481,2026-03-19,广州,glass,1,3.36,53.8,33.4,31.7,wood,19.79,141.0,0.0
101677,2026-01-07,杭州,electronics,0,4.35,49.4,39.7,22.9,cardboard,16.09,136.0,0.0
101447,2026-07-17,广州,ceramics,1,3.51,44.0,18.8,29.6,wood,17.81,80.0,0.0
100734,2026-02-04,广州,electronics,1,3.27,20.7,38.7,37.9,wood,18.15,86.0,0.0
100758,2026-06-05,武汉,ceramics,1,3.12,17.3,41.6,35.9,wood,17.55,111.0,0.0
100980,2026-01-21,杭州,ceramics,1,4.38,23.2,20.7,37.9,wood,18.62,94.0,0.0
100612,2026-03-29,北京,books,0,0.34,29.9,30.9,17.7,bubble,5.9,34.0,0.0
101988,2026-03-30,上海,electronics,0,4.15,58.8,37.2,12.5,wood,19.6,128.0,0.0
100858,2026-01-09,上海,ceramics,1,1.72,26.3,38.0,28.4,bubble,9.01,92.0,0.0
100317,2026-03-13,杭州,glass,1,3.76,46.5,36.2,28.7,wood,22.1,164.0,0.0
100597,2026-03-27,武汉,ceramics,1,2.77,34.5,31.9,20.5,cardboard,12.63,137.0,0.0
101943,2026-04-07,北京,electronics,0,0.86,17.5,,24.7,bubble,6.76,81.0,
101508,2026-03-19,杭州,electronics,0,4.35,20.3,33.1,17.6,cardboard,15.87,132.0,0.0
101243,2026-05-09,上海,glass,1,2.13,20.0,17.7,11.7,cardboard,11.53,151.0,0.0
101284,2026-04-18,深圳,electronics,0,3.4,52.7,22.8,37.0,cardboard,14.37,96.0,0.0
100079,2026-04-15,成都,clothing,0,1.15,19.7,41.6,35.3,bubble,7.39,27.0,0.0
