order_id,order_date,city,category,fragile,weight_kg,length_cm,width_cm,height_cm,material,freight_cost,value,damaged,volume,unit_freight,month
101602,2026-05-16,北京,ceramics,1,4.08,38.1,21.6,20.1,wood,19.66,123.0,0.0,16541.496000000003,4.818627450980392,2026-05
100584,2026-07-31,广州,glass,1,2.76,34.9,13.8,37.1,wood,20.41,165.0,0.0,17868.102000000003,7.394927536231885,2026-07
100926,2026-01-26,杭州,books,0,1.66,36.6,32.8,31.9,bubble,8.26,48.0,0.0,38295.312,4.975903614457831,2026-01
100066,2026-05-20,北京,electronics,0,3.44,34.5,11.3,38.6,cardboard,12.43,94.0,0.0,15048.210000000001,3.613372093023256,2026-05
100924,2026-03-10,北京,electronics,0,1.49,48.0,19.4,28.1,cardboard,8.56,92.0,0.0,26166.72,5.744966442953021,2026-03
100322,2026-06-08,深圳,clothing,0,0.5,28.7,41.1,24.0,cardboard,9.32,29.0,0.0,28309.68,18.64,2026-06
100306,2026-04-01,深圳,ceramics,1,1.98,41.8,21.0,16.6,cardboard,9.87,88.0,0.0,14571.480000000001,4.984848484848484,2026-04
101542,2026-06-19,成都,electronics,0,0.77,19.9,26.3,24.9,bubble,7.89,99.0,0.0,13031.912999999999,10.246753246753245,2026-06
101772,2026-03-28,北京,glass,1,4.38,37.3,15.4,39.3,wood,20.39,206.0,0.0,22574.706,4.655251141552512,2026-03
101402,2026-02-02,西安,clothing,0,0.55,38.2,26.8,37.3,cardboard,9.93,35.0,0.0,38186.248,18.05454545454545,2026-02
100433,2026-05-14,成都,books,0,1.65,37.8,25.3,14.5,bubble,8.1,37.0,0.0,13866.929999999998,4.909090909090909,2026-05
100695,2026-02-10,西安,electronics,1,2.88,49.3,37.8,32.2,wood,19.98,105.0,0.0,60005.988,6.9375,2026-02
101665,2026-06-15,广州,glass,1,2.08,36.9,22.8,31.1,cardboard,10.5,186.0,0.0,26165.052000000003,5.0480769230769225,2026-06
100112,2026-08-05,北京,clothing,0,0.81,17.7,17.5,25.5,bubble,5.46,27.0,0.0,7898.625,6.7407407407407405,2026-08
101023,2026-08-07,广州,electronics,0,3.03,23.3,21.2,16.2,wood,18.23,83.0,0.0,8002.151999999999,6.016501650165017,2026-08
100030,2026-01-18,广州,books,0,2.77,39.1,39.7,27.8,cardboard,14.42,47.0,0.0,43153.10600000001,5.205776173285199,2026-01
101883,2026-08-26,上海,clothing,0,0.55,34.9,37.1,15.7,bubble,8.23,27.0,0.0,20328.202999999998,14.963636363636363,2026-08
100384,2026-08-04,上海,electronics,0,4.89,15.6,21.7,10.3,cardboard,14.78,116.0,0.0,3486.756,3.0224948875255624,2026-08
101473,2026-05-23,深圳,clothing,0,0.76,55.3,18.5,36.9,bubble,7.87,27.0,0.0,37750.545,10.355263157894736,2026-05
101874,2026-07-24,武汉,electronics,1,3.62,22.0,28.5,34.6,wood,17.58,112.0,0.0,21694.2,4.856353591160221,2026-07
100307,2026-01-09,广州,clothing,0,0.25,37.8,24.9,5.4,cardboard,8.2,41.0,0.0,5082.588,32.8,2026-01
100057,2026-02-23,杭州,electronics,0,0.68,59.3,27.2,39.2,bubble,9.66,85.0,0.0,63228.032,14.205882352941176,2026-02
100772,2026-05-06,武汉,electronics,0,0.58,41.9,33.8,14.8,cardboard,9.29,136.0,0.0,20960.055999999997,16.017241379310345,2026-05
100778,2026-06-15,北京,clothing,0,0.79,43.3,43.0,33.1,bubble,9.64,33.0,0.0,61628.89,12.20253164556962,2026-06
101694,2026-07-03,广州,clothing,0,0.99,31.1,28.4,25.2,cardboard,11.7,35.0,0.0,22257.648,11.818181818181818,2026-07
101272,2026-05-31,广州,books,0,2.89,35.2,37.6,38.4,bubble,12.62,41.0,0.0,50823.168000000005,4.366782006920415,2026-05
101577,2026-01-26,武汉,electronics,0,3.21,34.9,36.2,22.4,cardboard,12.66,135.0,0.0,28299.712,3.94392523364486,2026-01
100421,2026-06-21,成都,electronics,0,3.3,23.8,19.3,14.6,cardboard,13.65,96.0,0.0,6706.3640000000005,4.136363636363637,2026-06
100820,2026-08-01,广州,electronics,0,0.86,32.9,41.1,21.2,bubble,6.67,113.0,0.0,28666.428,7.7558139534883725,2026-08
101511,2026-06-18,武汉,glass,1,2.88,31.1,34.7,15.1,cardboard,14.69,146.0,0.0,16295.467,5.100694444444445,2026-06
101183,2026-07-23,北京,electronics,1,2.07,20.4,14.5,5.2,wood,14.81,117.0,0.0,1538.1599999999999,7.154589371980677,2026-07
100495,2026-08-06,上海,clothing,0,1.45,30.8,28.8,20.6,bubble,8.26,33.0,0.0,18273.024,5.696551724137931,2026-08
100325,2026-06-27,成都,clothing,0,0.6,28.8,25.6,16.3,cardboard,8.8,28.0,0.0,12017.664000000002,14.666666666666668,2026-06
101437,2026-02-05,西安,clothing,0,1.13,30.2,42.7,26.1,bubble,8.74,26.0,0.0,33656.994,7.734513274336284,2026-02
101134,2026-08-26,上海,clothing,1,0.48,36.9,38.7,27.5,wood,16.02,31.0,0.0,39270.825,33.375,2026-08
100904,2026-01-28,西安,glass,1,3.66,21.0,25.6,16.7,cardboard,15.64,132.0,0.0,8977.92,4.273224043715847,2026-01
101367,2026-07-24,武汉,clothing,0,1.26,28.2,44.2,24.1,cardboard,11.52,35.0,0.0,30039.204,9.142857142857142,2026-07
101152,2026-02-25,成都,clothing,0,0.59,28.6,30.1,37.7,bubble,8.17,38.0,0.0,32454.422000000006,13.847457627118645,2026-02
101556,2026-02-04,武汉,ceramics,1,1.5,54.3,11.7,22.4,wood,14.26,136.0,0.0,14230.943999999998,9.506666666666666,2026-02
100352,2026-06-05,深圳,glass,1,3.17,36.0,23.0,12.1,cardboard,13.92,209.0,0.0,10018.8,4.391167192429022,2026-06
101519,2026-08-01,武汉,clothing,0,0.999,37.3,23.7,38.0,bubble,6.94,39.0,0.0,33592.38,6.946946946946947,2026-08
101464,2026-06-03,深圳,ceramics,1,3.73,32.6,26.9,5.9,wood,17.65,91.0,0.0,5173.946,4.7319034852546915,2026-06
100819,2026-01-08,武汉,glass,1,3.79,59.7,41.8,22.0,wood,22.57,188.0,0.0,54900.12,5.955145118733509,2026-01
100615,2026-02-19,广州,clothing,0,0.71,35.9,44.2,23.1,bubble,7.91,33.0,0.0,36654.618,11.140845070422536,2026-02
100071,2026-05-16,深圳,ceramics,1,3.94,42.9,15.7,32.1,cardboard,13.49,135.0,0.0,21620.313,3.4238578680203045,2026-05
100451,2026-05-22,北京,glass,1,3.8,36.9,18.5,13.2,wood,18.49,164.0,0.0,9010.98,4.86578947368421,2026-05
101308,2026-08-31,杭州,clothing,0,0.61,46.4,22.2,5.0,bubble,7.42,25.0,0.0,5150.4,12.163934426229508,2026-08
101579,2026-04-27,北京,books,0,1.77,16.3,30.3,36.6,bubble,8.71,51.0,0.0,18076.374000000003,4.92090395480226,2026-04
101950,2026-06-07,广州,books,0,0.95,48.6,14.5,40.0,cardboard,11.33,50.0,0.0,28188.0,11.926315789473685,2026-06
101186,2026-08-05,上海,books,0,1.9,15.1,37.3,34.0,bubble,8.65,47.0,0.0,19149.819999999996,4.552631578947369,2026-08
100870,2026-08-31,上海,electronics,1,3.71,52.1,38.3,34.9,wood,22.16,126.0,0.0,69640.507,5.973045822102426,2026-08
100354,2026-01-10,深圳,clothing,0,1.41,44.8,28.1,23.3,cardboard,11.71,29.0,0.0,29331.904,8.304964539007093,2026-01
101469,2026-04-20,上海,books,0,2.79,17.1,11.0,9.8,bubble,10.59,54.0,0.0,1843.3800000000003,3.7956989247311825,2026-04
100975,2026-03-19,武汉,glass,1,3.83,50.5,11.0,33.6,cardboard,13.74,164.0,0.0,18664.8,3.587467362924282,2026-03
101340,2026-08-22,深圳,clothing,0,0.24,39.1,29.6,12.9,bubble,7.33,25.0,0.0,14929.944000000001,30.541666666666668,2026-08
101551,2026-04-18,西安,glass,1,2.58,31.9,27.1,15.0,cardboard,12.11,128.0,0.0,12967.35,4.693798449612403,2026-04
100125,2026-08-03,成都,electronics,1,2.05,33.2,38.3,39.1,cardboard,13.23,111.0,0.0,49717.996,6.453658536585366,2026-08
100211,2026-03-13,广州,glass,1,2.01,37.3,42.2,6.1,cardboard,9.61,127.0,0.0,9601.766,4.781094527363185,2026-03
100949,2026-06-21,成都,clothing,0,1.23,50.1,28.4,11.1,bubble,7.28,41.0,0.0,15793.524,5.91869918699187,2026-06
101079,2026-03-24,杭州,ceramics,1,4.31,59.0,13.8,32.9,wood,20.34,89.0,0.0,26787.18,4.719257540603249,2026-03
101647,2026-08-21,武汉,books,0,1.6,37.3,43.5,7.9,bubble,7.49,51.0,0.0,12818.145,4.6812499999999995,2026-08
101494,2026-05-30,广州,electronics,0,3.72,54.9,21.8,13.9,cardboard,14.3,83.0,0.0,16635.798,3.8440860215053765,2026-05
101112,2026-07-06,成都,ceramics,1,3.38,18.8,14.4,31.6,wood,18.07,134.0,0.0,8554.752,5.346153846153847,2026-07
100585,2026-01-03,成都,clothing,0,0.95,52.7,38.4,12.9,bubble,8.11,32.0,0.0,26105.472,8.536842105263158,2026-01
101334,2026-01-28,成都,electronics,1,3.77,46.5,16.3,34.1,cardboard,13.22,138.0,0.0,25846.095,3.506631299734748,2026-01
100353,2026-05-21,西安,electronics,1,4.79,47.3,42.0,22.05,wood,21.17,82.0,0.0,43804.53,4.419624217118998,2026-05
101042,2026-07-07,杭州,electronics,0,1.19,53.1,31.8,26.8,bubble,10.94,96.0,0.0,45253.944,9.193277310924369,2026-07
101755,2026-05-21,上海,electronics,1,4.61,59.8,35.5,27.6,wood,21.45,127.0,0.0,58592.04000000001,4.6529284164859,2026-05
101567,2026-02-25,广州,glass,1,2.24,29.3,14.2,25.2,cardboard,12.69,120.0,0.0,10484.712,5.66517857142857,2026-02
100520,2026-05-25,西安,electronics,0,0.81,54.7,32.8,16.3,bubble,8.15,96.0,0.0,29244.807999999997,10.061728395061728,2026-05
100070,2026-01-22,杭州,electronics,1,0.71,15.4,16.6,6.1,bubble,4.59,94.0,0.0,1559.404,6.464788732394366,2026-01
100523,2026-07-19,深圳,electronics,1,3.24,25.8,11.9,7.8,wood,17.71,135.0,0.0,2394.7560000000003,5.466049382716049,2026-07
101631,2026-02-10,杭州,books,0,1.37,49.0,42.0,24.3,bubble,10.04,51.0,0.0,50009.4,7.32846715328467,2026-02
101081,2026-03-27,西安,electronics,0,3.72,33.2,31.2,36.3,cardboard,15.99,96.0,0.0,37600.992000000006,4.298387096774193,2026-03
101561,2026-03-06,北京,ceramics,1,1.78,54.0,29.9,13.6,wood,16.15,133.0,0.0,21958.559999999998,9.073033707865168,2026-03
101014,2026-07-13,深圳,electronics,0,4.48,18.2,34.8,33.2,cardboard,16.35,110.0,0.0,21027.552,3.6495535714285716,2026-07
101834,2026-05-22,杭州,ceramics,1,3.41,39.2,35.3,15.5,wood,18.28,131.0,0.0,21448.28,5.360703812316715,2026-05
100212,2026-01-24,成都,books,0,1.66,37.4,30.3,18.2,bubble,8.51,42.0,0.0,20624.604,5.126506024096385,2026-01
101011,2026-01-22,北京,books,0,2.41,55.8,26.8,11.0,bubble,11.23,49.0,0.0,16449.84,4.659751037344399,2026-01
101568,2026-08-18,广州,clothing,1,1.17,34.7,32.8,9.4,cardboard,8.67,30.0,0.0,10698.704000000002,7.410256410256411,2026-08
100100,2026-02-02,武汉,electronics,0,3.14,51.7,40.1,10.9,cardboard,13.09,127.0,0.0,22597.553,4.1687898089171975,2026-02
101311,2026-02-25,杭州,glass,1,3.77,20.6,15.9,26.5,cardboard,11.72,181.0,0.0,8679.810000000001,3.1087533156498677,2026-02
100731,2026-04-06,广州,books,0,1.78,48.8,41.8,29.6,bubble,9.77,45.0,0.0,60379.263999999996,5.48876404494382,2026-04
100530,2026-08-17,广州,electronics,0,2.0,19.3,40.6,22.9,bubble,10.24,102.0,0.0,17943.982,5.12,2026-08
100299,2026-06-27,杭州,electronics,1,0.92,43.3,24.7,8.2,cardboard,9.93,123.0,0.0,8769.982,10.793478260869565,2026-06
101019,2026-03-18,西安,ceramics,1,1.08,26.2,20.3,30.1,wood,13.87,83.0,0.0,16008.986,12.842592592592592,2026-03
100713,2026-01-12,成都,clothing,0,0.91,36.8,19.1,32.7,bubble,8.53,39.0,0.0,22984.176000000003,9.373626373626372,2026-01
101330,2026-08-31,广州,clothing,0,1.36,19.9,25.3,26.4,bubble,6.07,41.0,0.0,13291.607999999998,4.463235294117647,2026-08
100651,2026-02-03,北京,glass,1,3.82,16.0,27.6,24.1,wood,19.73,152.0,0.0,10642.560000000001,5.164921465968587,2026-02
100240,2026-03-11,武汉,ceramics,1,2.73,24.4,38.8,11.9,wood,17.9,114.0,0.0,11265.967999999999,6.556776556776557,2026-03
101962,2026-04-23,深圳,glass,1,4.16,36.2,26.8,6.5,cardboard,14.57,136.0,0.0,6306.040000000001,3.5024038461538463,2026-04
101722,2026-04-19,北京,clothing,0,0.44,49.1,29.2,23.5,bubble,8.3,26.0,0.0,33692.42,18.863636363636367,2026-04
101847,2026-02-07,西安,electronics,1,3.14,50.7,41.2,13.6,wood,19.49,116.0,0.0,28408.224000000002,6.207006369426751,2026-02
100395,2026-06-26,杭州,ceramics,1,3.8,40.6,18.2,30.6,wood,18.46,132.0,0.0,22610.952,4.8578947368421055,2026-06
101354,2026-08-04,武汉,glass,1,3.38,25.0,37.2,13.7,wood,17.3,162.0,0.0,12741.0,5.118343195266273,2026-08
101230,2026-07-29,北京,clothing,0,1.48,27.6,15.4,32.6,cardboard,10.91,40.0,0.0,13856.304000000002,7.371621621621622,2026-07
101717,2026-06-27,成都,electronics,0,1.27,30.5,44.5,32.8,cardboard,11.5,101.0,0.0,44517.799999999996,9.05511811023622,2026-06
101145,2026-05-06,西安,clothing,0,1.09,46.6,15.5,32.8,cardboard,10.3,28.0,0.0,23691.44,9.44954128440367,2026-05
101621,2026-06-22,武汉,ceramics,1,1.65,28.1,35.5,27.4,cardboard,9.1,132.0,0.0,27332.87,5.515151515151516,2026-06
100803,2026-02-16,上海,electronics,0,1.16,41.9,38.3,25.7,bubble,8.33,103.0,0.0,41242.58899999999,7.181034482758621,2026-02
100129,2026-04-21,深圳,clothing,0,1.43,39.6,29.0,36.5,bubble,10.86,32.0,0.0,41916.600000000006,7.594405594405594,2026-04
100863,2026-02-02,广州,ceramics,1,1.56,40.7,16.5,30.3,cardboard,8.88,106.0,0.0,20347.965000000004,5.6923076923076925,2026-02
100276,2026-05-21,成都,glass,1,4.12,25.4,44.5,29.7,wood,22.3,136.0,1.0,33569.909999999996,5.412621359223301,2026-05
100535,2026-03-14,北京,electronics,0,1.21,36.9,30.6,23.1,cardboard,10.16,126.0,0.0,26083.134000000005,8.396694214876034,2026-03
101056,2026-03-10,西安,ceramics,1,3.31,21.4,27.0,22.9,wood,17.46,134.0,0.0,13231.619999999999,5.2749244712990935,2026-03
101426,2026-02-06,北京,ceramics,1,4.41,59.0,24.5,20.1,wood,19.12,98.0,0.0,29054.550000000003,4.3356009070294785,2026-02
101377,2026-08-18,广州,electronics,1,3.43,33.0,33.5,18.4,cardboard,12.31,133.0,0.0,20341.199999999997,3.5889212827988337,2026-08
101346,2026-01-23,上海,books,0,1.6,19.4,25.4,36.3,bubble,8.8,52.0,0.0,17887.187999999995,5.5,2026-01
100527,2026-03-31,北京,ceramics,1,2.27,49.2,29.8,22.8,cardboard,11.66,129.0,0.0,33428.448000000004,5.136563876651983,2026-03
100486,2026-07-09,西安,electronics,0,0.81,45.0,17.1,37.0,bubble,7.77,119.0,0.0,28471.500000000004,9.592592592592592,2026-07
101810,2026-04-04,西安,books,0,1.71,47.4,44.4,20.3,cardboard,12.7,41.0,0.0,42722.568,7.426900584795321,2026-04
101971,2026-06-04,广州,ceramics,1,1.5,53.3,16.2,33.4,cardboard,10.46,114.0,0.0,28839.563999999995,6.973333333333334,2026-06
101892,2026-06-08,上海,electronics,1,2.73,50.8,29.2,36.3,cardboard,12.79,85.0,0.0,53845.96799999999,4.684981684981684,2026-06
101560,2026-03-27,成都,clothing,0,0.61,39.8,29.2,16.4,cardboard,9.28,26.0,0.0,19059.423999999995,15.21311475409836,2026-03
101813,2026-02-24,武汉,books,0,0.91,15.2,34.1,12.7,bubble,6.02,53.0,0.0,6582.664000000001,6.615384615384615,2026-02
101191,2026-07-27,杭州,ceramics,1,4.31,23.3,28.9,18.5,cardboard,13.87,91.0,0.0,12457.345,3.2180974477958237,2026-07
100528,2026-03-18,深圳,clothing,0,0.87,47.2,28.3,32.8,bubble,9.43,30.0,0.0,43812.928,10.839080459770114,2026-03
101236,2026-05-29,杭州,glass,1,3.38,20.8,12.9,39.8,cardboard,12.78,174.0,0.0,10679.135999999999,3.7810650887573964,2026-05
100531,2026-01-25,北京,electronics,0,3.05,57.4,17.7,8.5,cardboard,12.69,131.0,0.0,8635.83,4.160655737704918,2026-01
100901,2026-07-02,北京,electronics,0,2.9,19.3,44.0,28.3,cardboard,12.4,110.0,0.0,24032.36,4.275862068965518,2026-07
101871,2026-04-10,武汉,books,0,0.3,42.3,25.8,14.1,bubble,5.75,46.0,0.0,15387.893999999998,19.166666666666668,2026-04
101259,2026-03-27,杭州,electronics,0,1.06,21.1,41.9,17.6,bubble,8.13,133.0,0.0,15559.984000000002,7.669811320754717,2026-03
100818,2026-02-23,成都,electronics,0,2.97,35.2,33.9,36.1,cardboard,13.55,130.0,0.0,43077.408,4.562289562289562,2026-02
100908,2026-02-24,西安,electronics,0,2.18,47.0,17.1,6.3,bubble,9.26,103.0,0.0,5063.31,4.247706422018348,2026-02
101041,2026-03-04,北京,clothing,0,1.15,51.7,36.5,19.0,bubble,7.2,25.0,0.0,35853.950000000004,6.260869565217392,2026-03
101454,2026-06-12,西安,ceramics,1,1.58,46.8,44.9,11.3,cardboard,12.22,118.0,0.0,23744.915999999997,7.734177215189874,2026-06
100680,2026-08-14,广州,electronics,1,0.59,57.6,45.0,31.7,wood,16.32,124.0,0.0,82166.4,27.661016949152543,2026-08
101165,2026-02-27,西安,electronics,0,2.18,22.1,19.5,9.5,cardboard,11.11,110.0,0.0,4094.0250000000005,5.0963302752293576,2026-02
101537,2026-03-05,杭州,electronics,1,1.15,19.6,21.9,23.6,bubble,8.15,127.0,0.0,10130.064,7.086956521739132,2026-03
100116,2026-01-08,杭州,glass,1,4.88,41.3,14.5,16.2,wood,20.91,197.0,0.0,9701.369999999999,4.284836065573771,2026-01
100966,2026-03-21,广州,ceramics,1,1.94,50.4,44.2,27.3,bubble,11.94,128.0,0.0,60815.66400000001,6.154639175257732,2026-03
100343,2026-05-02,成都,ceramics,1,2.05,57.3,43.6,28.8,cardboard,12.66,109.0,0.0,71950.46399999999,6.175609756097562,2026-05
101942,2026-03-27,深圳,glass,1,1.87,52.6,16.0,15.8,cardboard,11.05,133.0,0.0,13297.28,5.909090909090909,2026-03
101997,2026-04-28,深圳,electronics,1,2.77,15.9,43.9,18.3,cardboard,10.43,111.0,0.0,12773.583,3.7653429602888084,2026-04
100255,2026-07-13,上海,ceramics,0,3.65,17.8,30.9,9.2,cardboard,11.32,123.0,0.0,5060.183999999999,3.1013698630136988,2026-07
101827,2026-02-05,杭州,electronics,1,2.37,30.1,43.6,29.0,cardboard,12.75,94.0,0.0,38058.44,5.379746835443037,2026-02
101832,2026-05-25,西安,ceramics,1,2.34,45.3,38.1,15.6,cardboard,13.23,124.0,0.0,26924.508,5.653846153846154,2026-05
101951,2026-05-08,西安,electronics,0,3.18,41.1,16.1,37.3,cardboard,13.96,135.0,0.0,24681.783,4.389937106918239,2026-05
101091,2026-06-11,成都,glass,0,1.03,41.3,17.6,14.7,bubble,8.75,121.0,0.0,10685.135999999999,8.495145631067961,2026-06
101275,2026-07-12,广州,ceramics,1,3.86,51.7,19.7,39.8,cardboard,14.44,82.0,0.0,40535.901999999995,3.7409326424870466,2026-07
100121,2026-01-19,西安,glass,1,4.49,27.2,15.6,32.1,wood,17.74,206.0,0.0,13620.672,3.9510022271714917,2026-01
101944,2026-02-01,成都,ceramics,1,4.38,59.2,37.3,32.0,wood,22.58,114.0,0.0,70661.12,5.155251141552511,2026-02
100580,2026-02-18,上海,clothing,0,0.43,20.8,44.2,12.1,cardboard,8.12,29.0,0.0,11124.256000000001,18.883720930232556,2026-02
101302,2026-01-14,武汉,glass,1,3.32,32.4,22.0,18.6,wood,18.07,207.0,0.0,13258.08,5.44277108433735,2026-01
100257,2026-02-01,上海,electronics,1,3.56,59.1,35.9,21.3,bubble,12.41,124.0,0.0,45191.997,3.485955056179775,2026-02
100809,2026-08-18,上海,clothing,0,0.78,37.5,31.7,19.2,bubble,6.91,33.0,0.0,22824.0,8.85897435897436,2026-08
100136,2026-04-16,成都,glass,1,1.05,50.2,25.0,27.3,cardboard,12.69,151.0,0.0,34261.5,12.085714285714285,2026-04
101111,2026-03-28,杭州,books,0,2.14,49.4,33.6,12.8,bubble,9.64,52.0,0.0,21245.952,4.5046728971962615,2026-03
101582,2026-07-29,上海,glass,1,0.9,36.7,10.7,25.3,bubble,7.31,135.0,0.0,9935.057,8.122222222222222,2026-07
100940,2026-05-10,杭州,glass,1,2.82,45.6,27.0,28.1,wood,17.76,194.0,0.0,34596.72,6.297872340425533,2026-05
100465,2026-01-26,深圳,clothing,0,1.42,42.1,36.8,6.9,bubble,7.86,29.0,0.0,10690.032000000001,5.535211267605634,2026-01
100439,2026-06-14,武汉,glass,1,1.55,55.9,30.8,15.5,cardboard,10.23,149.0,0.0,26686.66,6.6,2026-06
101048,2026-01-09,武汉,electronics,0,2.43,46.3,30.6,17.2,bubble,9.85,88.0,0.0,24368.615999999998,4.053497942386831,2026-01
100931,2026-01-29,北京,books,0,1.15,55.0,24.4,18.2,cardboard,9.52,55.0,0.0,24424.399999999998,8.278260869565218,2026-01
100110,2026-02-08,深圳,clothing,1,0.23,36.9,19.1,19.7,cardboard,7.98,34.0,0.0,13884.363000000001,34.69565217391305,2026-02
100362,2026-02-23,北京,electronics,1,0.75,44.3,13.1,20.4,cardboard,7.58,102.0,0.0,11838.731999999998,10.106666666666667,2026-02
100351,2026-02-23,西安,ceramics,1,2.605,46.8,12.9,21.4,cardboard,10.64,100.0,0.0,12919.608,4.084452975047985,2026-02
101633,2026-01-14,广州,clothing,0,1.04,27.5,34.0,35.2,wood,15.33,36.0,0.0,32912.0,14.740384615384615,2026-01
101757,2026-06-14,北京,electronics,0,4.16,16.7,35.0,12.0,cardboard,12.11,93.0,0.0,7014.0,2.911057692307692,2026-06
100621,2026-03-04,杭州,glass,1,1.48,59.3,41.4,29.6,cardboard,11.82,150.0,0.0,72668.592,7.986486486486487,2026-03
100234,2026-07-14,武汉,electronics,0,3.45,40.1,36.3,33.9,wood,20.54,121.0,0.0,49345.856999999996,5.953623188405796,2026-07
101526,2026-01-07,西安,ceramics,1,0.98,56.8,42.8,34.6,cardboard,13.53,118.0,0.0,84113.98399999998,13.806122448979592,2026-01
101428,2026-05-05,北京,books,0,2.98,22.7,34.3,34.3,bubble,10.31,55.0,0.0,26706.322999999993,3.4597315436241614,2026-05
100693,2026-04-29,广州,clothing,0,0.86,41.0,14.1,5.1,bubble,4.19,34.0,0.0,2948.31,4.872093023255815,2026-04
101926,2026-05-03,武汉,clothing,0,0.29,26.5,11.1,27.0,cardboard,5.73,38.0,0.0,7942.049999999999,19.758620689655174,2026-05
100789,2026-04-24,广州,electronics,0,0.64,29.7,10.4,6.2,bubble,5.45,88.0,0.0,1915.056,8.515625,2026-04
101343,2026-03-25,北京,clothing,0,1.21,33.6,32.7,21.9,bubble,7.24,34.0,0.0,24061.968000000004,5.983471074380166,2026-03
100882,2026-07-26,西安,glass,1,4.41,37.0,19.3,8.0,wood,20.04,185.0,1.0,5712.8,4.54421768707483,2026-07
100757,2026-05-15,武汉,electronics,0,3.58,33.0,35.7,10.7,wood,19.42,101.0,0.0,12605.67,5.424581005586592,2026-05
100480,2026-05-28,杭州,clothing,0,0.43,28.6,44.5,18.2,bubble,5.37,38.0,0.0,23163.14,12.488372093023257,2026-05
100553,2026-02-12,西安,electronics,0,4.1,30.7,35.5,7.3,cardboard,15.01,116.0,0.0,7955.904999999999,3.6609756097560977,2026-02
101745,2026-04-27,杭州,books,0,2.78,29.8,18.1,6.0,bubble,10.79,39.0,0.0,3236.2800000000007,3.881294964028777,2026-04
100345,2026-06-06,深圳,glass,1,3.73,16.0,15.4,24.7,wood,18.13,190.0,0.0,6086.08,4.86058981233244,2026-06
101860,2026-04-09,上海,glass,1,2.16,51.1,43.1,39.1,wood,21.53,171.0,0.0,86114.23100000001,9.967592592592592,2026-04
100568,2026-04-20,上海,electronics,0,2.43,56.4,32.8,8.9,bubble,11.02,133.0,0.0,16464.288,4.534979423868312,2026-04
100571,2026-06-06,上海,clothing,0,0.93,30.1,28.3,30.2,bubble,10.04,41.0,0.0,25725.266,10.795698924731182,2026-06
100308,2026-04-07,成都,clothing,0,1.4,45.8,29.2,38.1,cardboard,12.44,26.0,0.0,50953.416,8.885714285714286,2026-04
